Category,SKU,Name,Description,Price
Cellphones,6584894,Nokia - 2780 Flip Phone (Unlocked) - Black,"Simple to use, clear to see Intuitive design that makes it easy to use, and a 1.77&#8221; external screen so you can easily see who&#8217;s calling. The bright 2.8&#8221; internal LCD display makes text even easier to read. Keep the conversation going with up to 7 hours of active talk time; or get up to 18 days of standby time from a single charge. The 5MP rear-camera lets you capture all those special moments in an instant. It also comes with video-recording and playback, for when you want to capture those longer memories.",89.99
Cellphones,6586591,Apple - Pre-Owned iPhone 15 Pro Max 5G 256GB - Apple Intelligence  - (Unlocked) - Black Titanium,"iPhone 15 Pro is the first iPhone to feature an aerospace&#8209;grade titanium design, using the same alloy that spacecraft use for missions to Mars. Titanium has one of the best strength&#8209;to&#8209;weight ratios of any metal, making these our lightest Pro models ever. You&#8217;ll notice the difference the moment you pick one up. It&#8217;s here. The biggest redesign in the history of Apple GPUs. A17 Pro is an entirely new class of iPhone chip that delivers our best graphics performance by far. Mobile games will look and feel so immersive, with incredibly detailed environments and more realistic characters. And with industry-leading speed and efficiency, A17 Pro takes fast and runs with it. From dramatic framing flexibility to next-generation portraits, see what you can do with our most powerful iPhone camera system. The all&#8209;new Action button is a fast track to your favorite feature. Once you set the one you want, just press and hold to launch the action. Whatever you&#8217;re doing, the Action button is at the ready. Launch Camera to catch a spontaneous selfie. Record an instant voice memo. You can even select Shortcut to open an app or run a series of tasks like switching on the lights in your living room and playing music. iPhone 15 Pro is the first iPhone to support USB 3, for a huge leap in data transfer speeds and faster pro workflows than ever before. The new USB&#8209;C connector lets you charge your Mac or iPad with the same cable you use to charge iPhone 15 Pro. Bye&#8209;bye, cable clutter.",1099.99
Cellphones,6586592,Apple - Pre-Owned iPhone 15 Pro 5G 128GB - Apple Intelligence  - (Unlocked) - Black Titanium,"iPhone 15 Pro is the first iPhone to feature an aerospace&#8209;grade titanium design, using the same alloy that spacecraft use for missions to Mars. Titanium has one of the best strength&#8209;to&#8209;weight ratios of any metal, making these our lightest Pro models ever. You&#8217;ll notice the difference the moment you pick one up. It&#8217;s here. The biggest redesign in the history of Apple GPUs. A17 Pro is an entirely new class of iPhone chip that delivers our best graphics performance by far. Mobile games will look and feel so immersive, with incredibly detailed environments and more realistic characters. And with industry-leading speed and efficiency, A17 Pro takes fast and runs with it. From dramatic framing flexibility to next-generation portraits, see what you can do with our most powerful iPhone camera system. The all&#8209;new Action button is a fast track to your favorite feature. Once you set the one you want, just press and hold to launch the action. Whatever you&#8217;re doing, the Action button is at the ready. Launch Camera to catch a spontaneous selfie. Record an instant voice memo. You can even select Shortcut to open an app or run a series of tasks like switching on the lights in your living room and playing music. iPhone 15 Pro is the first iPhone to support USB 3, for a huge leap in data transfer speeds and faster pro workflows than ever before. The new USB&#8209;C connector lets you charge your Mac or iPad with the same cable you use to charge iPhone 15 Pro. Bye&#8209;bye, cable clutter.",929.99
Cellphones,6530509,Apple - Pre-Owned iPhone 12 5G 64GB (Unlocked) - Black,"iPhone 12 has it all. 5G on iPhone is super fast, so you can download movies on the fly and stream high-quality video. You can do it in more places, because iPhone 12 has 5G coverage worldwide. OLED delivers brighter brights, darker blacks, and higher resolution for everything you look at. Both the Wide and Ultra Wide cameras now have Night mode to capture incredible low-light shots. Night mode senses when light is low and kicks in automatically, maintaining clarity while capturing beautiful vibrant color. All you have to do is start snapping. Deep Fusion, in mid to low light, analyzes multiple exposures to maximize detail. Check out the texture in the wood, fabric, and crystal. And the Ultra Wide gets you a heroic perspective. Smart HDR 3 balances the elements in a shot, bringing out detail in the subject and trees while retaining the rich color of the sky &#8212; even at high noon. Beyond faces, Smart HDR 3 uses machine learning to recognize scenes, then adjusts sharpness, color, and white balance where needed. Even in bright light, Smart HDR 3 is amazing at capturing texture, skin tone, color saturation, and individual details that make photos feel TRUE to life. Portrait mode artfully blurs the background to put all the focus on your subject. Then there&#8217;s Night mode Time-lapse. Just prop up your iPhone and let the light trails begin. Now you can record 4K HDR video with Dolby Vision; edit in Photos or iMovie. Then zap it to your TV using AirPlay to see all that color and detail. It&#8217;s a start-to-finish cinematic experience. iOS 14 is packed with shortcuts that get you just what you want, right when you want it. iPhone is designed to protect your information. Face ID data doesn&#8217;t leave your iPhone and is never backed up to iCloud or anywhere else. iOS shows you an app&#8217;s privacy practices before you download it. When you use Apple Pay, your card number isn&#8217;t shared with merchants. And the list goes on. To charge your new iPhone, you can continue to use your USB&#8209;A to Lightning cable. Or you can take advantage of fast charging with the USB&#8209;C to Lightning cable now included in the box, which works with existing USB&#8209;C power adapters and computer ports.",379.99
Cellphones,6412518,Simple Mobile - Moxee 4G No-Contract Mobile Hotspot - Black,"You live your best wireless life by staying connected anytime, anywhere. The no-contract Simple Mobile Prepaid Mobile Hotspot by Moxee allows you to connect up to 16 devices on the go with blazing fast speeds. The small, compact device is easy for travel and its full color screen makes setup and use a breeze. Keep streaming, watching, gaming and working wherever you are with the Simple Mobile Prepaid Mobile Hotspot by Moxee.",49.99
Cellphones,6538307,Lively® - Jitterbug Flip2 Cell Phone for Seniors - Red,"Calling and texting just got easier with the Jitterbug Flip2. It features big buttons, a large screen, a simple menu, and an Urgent Response button on the keypad for help in an emergency. With easy navigation, a powerful speaker and an improved 8MP built-in camera, you&#8217;ll enjoy using the Jitterbug Flip2 every day. Lively Plans include Unlimited Talk & Text and the new Ask Lively service with kind and knowledgeable Care Advisors who are available to answer questions about your phone, provide help looking up a number, schedule a ride and much more.  Plans start at just $19.99/month* with no long-term contracts or cancellation fees (price includes a $5/month discount when you enroll in paperless billing). To activate your phone, go in-store or call Lively at 1-800-650-4930 (7 a.m.-8p.m. CT). *Plus $3.23 admin. fee, variable USF/surcharges and taxes. $19.99/mo. requires paperless billing.",79.99
Cellphones,6587819,Google - Pixel 9 128GB (Unlocked) - Obsidian,"Meet Pixel 9 with Gemini. Engineered by Google, Pixel gets the best of Google&#8217;s AI first. So you can take amazing photos, make edits like magic, and get things done even easier. Pixel can protect against spam and other threats. It helps you in an emergency.10 And it&#8217;s built to last.",799.0
Cellphones,6580656,Apple - Pre-Owned iPhone 13 5G 128GB (Unlocked) - Midnight,"iPhone 13. Enjoy taking photos with the advanced dual-camera system. Lightning-fast A15 Bionic chip. Long battery life, durable design, superfast 5G and a bright Super Retina XDR display.",499.99
Cellphones,6446646,Samsung - Geek Squad Certified Refurbished Galaxy S20 FE 5G 128GB (Unlocked) - Cloud Navy,"Geek Squad&#174; Certified Refurbished products are thoroughly, painstakingly and lovingly tested, so you can be sure that your device will work right, right away. Learn more about Geek Squad&#174; Certified Refurbished products.Stay connected with friends and capture your moments with this unlocked Samsung Galaxy S20 FE smartphone. The Infinity-O display delivers detailed pictures and enables smooth scrolling, while the Quick Share feature wirelessly pairs up to five compatible devices simultaneously for seamless file sharing. This refurbished Samsung Galaxy S20 FE smartphone features 128GB of storage space to accommodate apps and files, and the 32-megapixel front camera vividly captures your outdoor adventures.",599.99
TVs,6536735,"Roku - 75"" Class Plus Series QLED 4K Smart RokuTV","Roku Plus Series TVs are thoughtfully designed for a premium entertainment experience at an incredible value. Turn any living room into a cinematic landscape with a breathtaking QLED screen and watch in awe as strikingly accurate colors pop off your screen with Dolby Vision and HDR10+. Launch your streaming favorites lightning quick and enjoy brilliant 4K picture that&#8217;s optimized for your room lighting with automatic brightness. Catch every word with built-in sound features like auto speech clarity and night mode or pair wireless headphones to enjoy private listening. The rechargeable, hands-free voice remote makes it easy to find entertainment&#8212;or even itself under your deepest couch cushions. There&#8217;s never been a more delightful way to enjoy what you love. A smart TV made by Roku? Now that makes sense.",899.99
